model,horizon,feature_set,mode,feature,members,baseline_f1,knockout_f1,importance,is_thyroid,cache_key
ENSEMBLE,7,CV17_THY_CONT_STATES,single,fT4,fT4,0.7361968142354882,0.741446905766526,0.9929191267908656,True,1d225cfbcbdb0d4d706d
ENSEMBLE,7,CV17_THY_CONT_STATES,single,Smoke,Smoke,0.7361968142354882,0.7466528162511542,0.9859961661054676,False,1d225cfbcbdb0d4d706d
ENSEMBLE,7,CV17_THY_ABNORMAL_BIN,multi,cluster_4,"Previous_CABG, Previous_PCI, Previous_MI, PostIsch_DCM, fe",0.7179349889506528,0.5935185185185186,1.2096252543942354,False,1d225cfbcbdb0d4d706d
ENSEMBLE,7,CV17_THY_ABNORMAL_BIN,multi,cluster_5,"Gender, Age, Smoke",0.7179349889506528,0.6343311369334433,1.131798436415051,False,1d225cfbcbdb0d4d706d
ENSEMBLE,7,CV17_THY_ABNORMAL_BIN,multi,cluster_3,"Angina, Angiography, Vessels, Ischemia, Dyslipidemia, AFib",0.7179349889506528,0.6525412851886712,1.1002138948849407,False,1d225cfbcbdb0d4d706d
ENSEMBLE,7,CV17_THY_ABNORMAL_BIN,multi,cluster_6,Thyroid_abnormal,0.7179349889506528,0.698556781496768,1.027740346908327,True,1d225cfbcbdb0d4d706d
ENSEMBLE,7,CV17_THY_ABNORMAL_BIN,multi,cluster_1,Diabetes,0.7179349889506528,0.7102221951417662,1.010859691321456,False,1d225cfbcbdb0d4d706d
ENSEMBLE,7,CV17_THY_ABNORMAL_BIN,multi,cluster_7,Acute_MI,0.7179349889506528,0.7102652757666204,1.0107983783604713,False,1d225cfbcbdb0d4d706d
ENSEMBLE,7,CV17_THY_ABNORMAL_BIN,multi,cluster_2,Hypertension,0.7179349889506528,0.7192512259478671,0.9981699899148873,False,1d225cfbcbdb0d4d706d
ENSEMBLE,7,CV17_THY_ABNORMAL_BIN,single,fe,fe,0.7179349889506528,0.6081139809953369,1.1805928023157193,False,1d225cfbcbdb0d4d706d
ENSEMBLE,7,CV17_THY_ABNORMAL_BIN,single,Age,Age,0.7179349889506528,0.6230709188224799,1.1522524439231623,False,1d225cfbcbdb0d4d706d
ENSEMBLE,7,CV17_THY_ABNORMAL_BIN,single,Dyslipidemia,Dyslipidemia,0.7179349889506528,0.6859703444822547,1.0465977060459135,False,1d225cfbcbdb0d4d706d
ENSEMBLE,7,CV17_THY_ABNORMAL_BIN,single,Angina,Angina,0.7179349889506528,0.6942194690003186,1.0341614158192434,False,1d225cfbcbdb0d4d706d
ENSEMBLE,7,CV17_THY_ABNORMAL_BIN,single,AFib,AFib,0.7179349889506528,0.6980110662479437,1.028543849325781,False,1d225cfbcbdb0d4d706d
ENSEMBLE,7,CV17_THY_ABNORMAL_BIN,single,Gender,Gender,0.7179349889506528,0.698556781496768,1.027740346908327,False,1d225cfbcbdb0d4d706d
ENSEMBLE,7,CV17_THY_ABNORMAL_BIN,single,Thyroid_abnormal,Thyroid_abnormal,0.7179349889506528,0.698556781496768,1.027740346908327,True,1d225cfbcbdb0d4d706d
ENSEMBLE,7,CV17_THY_ABNORMAL_BIN,single,Vessels,Vessels,0.7179349889506528,0.6992872553455849,1.0266667717200884,False,1d225cfbcbdb0d4d706d
