horizon,feature_set,model,scheme,f1_macro,roc_auc,precision_1,recall_1,precision_0,recall_0,brier,threshold,f1_macro_std,roc_auc_std,precision_1_std,recall_1_std,precision_0_std,recall_0_std,brier_std,threshold_std,cache_key
7,CV17,MLP,A_5fold_cv,0.7045812269701017,0.7924440778140157,0.5779833468530013,0.4734502676810369,0.879729572600459,0.9128977532330798,0.1615252482966598,0.744,0.0146533212299111,0.0375227706740619,0.0853905072602327,0.0656154417656786,0.0103928588813871,0.0324615074095583,0.0101686769097521,0.0589915248150104,85033eaf7973736b5b9a
7,CV17,MLP,B_60_20_20,0.737586410793958,0.8319416498993965,0.5923566878980892,0.5535714285714286,0.8959778085991679,0.9098591549295776,0.1633852811281254,0.74,,,,,,,,,85033eaf7973736b5b9a
7,CV17,GradientBoosting,A_5fold_cv,0.7235168190675754,0.8359216016465002,0.5258583686528713,0.6108199492814878,0.9042511884513734,0.867761377858122,0.1520350988207286,0.62,0.0231961880931127,0.0221148588951457,0.0328113571009525,0.0876723161155531,0.01663913966042,0.0285232134423462,0.0054865807307581,0.0547722557505165,85033eaf7973736b5b9a
7,CV17,GradientBoosting,B_60_20_20,0.7329983531701474,0.8384096244131455,0.6532258064516129,0.4821428571428571,0.8846153846153846,0.9394366197183098,0.1486627040284122,0.74,,,,,,,,,85033eaf7973736b5b9a
7,CV17,XGBoost,A_5fold_cv,0.7137554437633146,0.8173682370552171,0.5589893216032953,0.5194632290786136,0.888084858122603,0.9010302151413416,0.1410181787117244,0.616,0.0348908442710693,0.0234534181581081,0.0499817146146279,0.0991551215923403,0.0177275078845733,0.0300161013728693,0.0080140305464794,0.0792464510246357,85033eaf7973736b5b9a
7,CV17,XGBoost,B_60_20_20,0.7212578832210734,0.822048960429242,0.5632911392405063,0.5297619047619048,0.8902777777777777,0.9028169014084508,0.133645606734562,0.6,,,,,,,,,85033eaf7973736b5b9a
7,CV17,ENSEMBLE,A_5fold_cv,0.7305739705389551,0.841625123435438,0.5532434334965277,0.5930543815159199,0.90168897734347,0.8832722143864599,0.1419724285867203,0.532,0.0191653735397507,0.0180871366470649,0.0505452109985276,0.0631949013703202,0.0114715744295459,0.0353407370914378,0.0040209362043785,0.0414728827066554,85033eaf7973736b5b9a
7,CV17,ENSEMBLE,B_60_20_20,0.7478829876449771,0.8430164319248826,0.5395348837209303,0.6904761904761905,0.9215686274509804,0.8605633802816901,0.1410402520984149,0.5,,,,,,,,,85033eaf7973736b5b9a
7,CV17_THY_CONT_STATES,LogisticRegression,A_5fold_cv,0.7288532567201186,0.8380938732855316,0.5261205670646507,0.6323330515638208,0.908396150682274,0.8635459584020342,0.1622428391021567,0.6359999999999999,0.0147413181844374,0.0150992007522402,0.0278416224743585,0.0607256527701557,0.0123214179311992,0.0235284634497554,0.0047966527725306,0.0433589667773575,85033eaf7973736b5b9a
7,CV17_THY_CONT_STATES,LogisticRegression,B_60_20_20,0.7574049513704686,0.8352196512407781,0.5714285714285714,0.6666666666666666,0.9178885630498532,0.8816901408450705,0.1605933590015342,0.64,,,,,,,,,85033eaf7973736b5b9a
7,CV17_THY_CONT_STATES,RandomForest,A_5fold_cv,0.7176952258445238,0.8301182667692251,0.5092939865990104,0.6133276979430826,0.9034937913865736,0.858483879298357,0.116696833712984,0.384,0.0173820513910263,0.0169419725154196,0.034719066748669,0.050826400592796,0.01064499168917,0.0227772323367985,0.004775910184526,0.0167332005306815,85033eaf7973736b5b9a
7,CV17_THY_CONT_STATES,RandomForest,B_60_20_20,0.7227982718511133,0.8384976525821597,0.5465116279069767,0.5595238095238095,0.8951841359773371,0.8901408450704226,0.1123405466970387,0.42,,,,,,,,,85033eaf7973736b5b9a
7,CV17_THY_CONT_STATES,AdaBoost,A_5fold_cv,0.7179930903419052,0.8345389588121979,0.559085971335729,0.5278176951253875,0.889139872359421,0.8996241482746976,0.1948594827534046,0.552,0.0289409467388308,0.0186198688469941,0.0654931487824698,0.0468347290454576,0.0099969752336287,0.0216393747480112,0.0031783534107599,0.0109544511501033,85033eaf7973736b5b9a
7,CV17_THY_CONT_STATES,AdaBoost,B_60_20_20,0.7288728769943387,0.828931924882629,0.562874251497006,0.5595238095238095,0.8959212376933896,0.8971830985915493,0.1939460463788677,0.54,,,,,,,,,85033eaf7973736b5b9a
7,CV17_THY_CONT_STATES,SVC,A_5fold_cv,0.702802660762527,0.8203947379973137,0.5082627640386674,0.563454494223725,0.8944370747596475,0.8669298158485468,0.1483956231592253,0.62,0.0159620522239264,0.0089552040594585,0.0335550544538936,0.12295250118679,0.0223119817714032,0.0436206856773724,0.0046598771495761,0.0969535971483265,85033eaf7973736b5b9a
7,CV17_THY_CONT_STATES,SVC,B_60_20_20,0.7323379209826544,0.8301978537894029,0.6083916083916084,0.5178571428571429,0.889795918367347,0.9211267605633804,0.1434862344612707,0.72,,,,,,,,,85033eaf7973736b5b9a
7,CV17_THY_CONT_STATES,KNeighbors,A_5fold_cv,0.6359098369350727,0.7117078474356934,0.3945143798316189,0.4782262609185686,0.8700024917060819,0.8226869822602755,0.2112801822323462,0.5800000000000001,0.0123062870318872,0.0126475742655697,0.0254194416301188,0.0999927150817038,0.0163987043515864,0.0546829497957395,0.0044791500379362,0.0894427190999915,85033eaf7973736b5b9a
7,CV17_THY_CONT_STATES,KNeighbors,B_60_20_20,0.6493390552562335,0.7256874580818242,0.41,0.4880952380952381,0.8731563421828908,0.8338028169014085,0.206879271070615,0.62,,,,,,,,,85033eaf7973736b5b9a
7,CV17_THY_CONT_STATES,MLP,A_5fold_cv,0.6849901724864887,0.7632281101866735,0.5085799775608886,0.4828331924485771,0.8789430308510662,0.8860958700013905,0.1626270636388008,0.596,0.0225958229325926,0.0249186254145349,0.0468324140992634,0.1045181162695164,0.018561018346561,0.0342848754513715,0.0052309485167055,0.1244186481199663,85033eaf7973736b5b9a
7,CV17_THY_CONT_STATES,MLP,B_60_20_20,0.7180619443143399,0.8068829644533869,0.5307262569832403,0.5654761904761905,0.8955650929899857,0.8816901408450705,0.1473423075060307,0.64,,,,,,,,,85033eaf7973736b5b9a
