horizon,feature_set,ensemble,threshold,n_flagged,flagged_fraction,true_positives,false_positives,net_benefit_model,net_benefit_treat_all,net_benefit_treat_none,degenerate
10,CV17,diverse,0.1,374,0.7151051625239006,184,190,0.31145103038028465,0.2967920118971744,0.0,False
10,CV17,diverse,0.2,311,0.5946462715105163,172,139,0.2624282982791587,0.20889101338432126,0.0,False
10,CV17,diverse,0.3,261,0.49904397705544934,158,103,0.2177000819448238,0.09587544386779573,0.0,False
10,CV17,diverse,0.4,223,0.42638623326959846,148,75,0.18738049713193114,-0.05481198215423838,0.0,False
10,CV17,diverse,0.5,195,0.372848948374761,135,60,0.14340344168260039,-0.26577437858508596,0.0,False
10,CV17_THY_CONT,paper,0.1,377,0.7208413001912046,186,191,0.3150626726152539,0.2967920118971744,0.0,False
10,CV17_THY_CONT,paper,0.2,305,0.5831739961759083,174,131,0.27007648183556404,0.20889101338432126,0.0,False
10,CV17_THY_CONT,paper,0.3,268,0.5124282982791587,163,105,0.22562141491395793,0.09587544386779573,0.0,False
10,CV17_THY_CONT,paper,0.4,236,0.45124282982791586,152,84,0.18355640535372852,-0.05481198215423838,0.0,False
10,CV17_THY_CONT,paper,0.5,191,0.3652007648183556,133,58,0.14340344168260039,-0.26577437858508596,0.0,False
10,CV17_THY_CONT,diverse,0.1,378,0.722753346080306,184,194,0.31060123220735075,0.2967920118971744,0.0,False
10,CV17_THY_CONT,diverse,0.2,293,0.5602294455066922,168,125,0.26147227533460804,0.20889101338432126,0.0,False
10,CV17_THY_CONT,diverse,0.3,249,0.47609942638623326,154,95,0.21660748429390875,0.09587544386779573,0.0,False
10,CV17_THY_CONT,diverse,0.4,212,0.40535372848948376,141,71,0.17909496494582536,-0.05481198215423838,0.0,False
10,CV17_THY_CONT,diverse,0.5,178,0.3403441682600382,129,49,0.15296367112810708,-0.26577437858508596,0.0,False
10,CV17_THY_STATES,paper,0.1,380,0.7265774378585086,187,193,0.31654981941788823,0.2967920118971744,0.0,False
10,CV17_THY_STATES,paper,0.2,303,0.5793499043977055,173,130,0.26864244741873805,0.20889101338432126,0.0,False
10,CV17_THY_STATES,paper,0.3,268,0.5124282982791587,162,106,0.22288992078667033,0.09587544386779573,0.0,False
10,CV17_THY_STATES,paper,0.4,227,0.4340344168260038,150,77,0.18865519439133205,-0.05481198215423838,0.0,False
10,CV17_THY_STATES,paper,0.5,192,0.367112810707457,135,57,0.14913957934990438,-0.26577437858508596,0.0,False
10,CV17_THY_STATES,diverse,0.1,393,0.751434034416826,185,208,0.30953898449118333,0.2967920118971744,0.0,False
10,CV17_THY_STATES,diverse,0.2,312,0.5965583173996176,172,140,0.26195028680688337,0.20889101338432126,0.0,False
10,CV17_THY_STATES,diverse,0.3,264,0.5047801147227533,156,108,0.2097787489756897,0.09587544386779573,0.0,False
10,CV17_THY_STATES,diverse,0.4,234,0.4474187380497132,151,83,0.18291905672402803,-0.05481198215423838,0.0,False
