horizon,feature_set,ensemble,threshold,high_risk_per_1000,true_positives,false_positives,false_negatives,true_negatives,sensitivity,specificity,ppv,npv,degenerate
10,CV17_THY_CONT_STATES,diverse,0.3,491.395793499044,155,102,37,229,0.8072916666666666,0.6918429003021148,0.603112840466926,0.8609022556390977,False
10,CV17_THY_CONT_STATES,diverse,0.4,414.91395793499044,141,76,51,255,0.734375,0.770392749244713,0.6497695852534562,0.8333333333333334,False
10,CV17_THY_CONT_STATES,diverse,0.5,347.9923518164436,128,54,64,277,0.6666666666666666,0.8368580060422961,0.7032967032967034,0.8123167155425219,False
10,CV17_THY_CONT_RATIO,paper,0.1,718.9292543021033,186,190,6,141,0.96875,0.4259818731117825,0.4946808510638298,0.9591836734693877,False
10,CV17_THY_CONT_RATIO,paper,0.2,586.9980879541109,174,133,18,198,0.90625,0.5981873111782477,0.5667752442996743,0.9166666666666666,False
10,CV17_THY_CONT_RATIO,paper,0.3,512.4282982791588,163,105,29,226,0.8489583333333334,0.6827794561933535,0.6082089552238806,0.8862745098039215,False
10,CV17_THY_CONT_RATIO,paper,0.4,443.5946462715105,152,80,40,251,0.7916666666666666,0.7583081570996979,0.6551724137931034,0.8625429553264605,False
10,CV17_THY_CONT_RATIO,paper,0.5,361.376673040153,132,57,60,274,0.6875,0.8277945619335347,0.6984126984126984,0.8203592814371258,False
10,CV17_THY_CONT_RATIO,diverse,0.1,749.5219885277247,185,207,7,124,0.9635416666666666,0.37462235649546827,0.4719387755102041,0.9465648854961832,False
10,CV17_THY_CONT_RATIO,diverse,0.2,592.7342256214149,171,139,21,192,0.890625,0.5800604229607251,0.5516129032258065,0.9014084507042254,False
10,CV17_THY_CONT_RATIO,diverse,0.3,495.21988527724665,161,98,31,233,0.8385416666666666,0.7039274924471299,0.6216216216216216,0.8825757575757576,False
10,CV17_THY_CONT_RATIO,diverse,0.4,441.6826003824092,149,82,43,249,0.7760416666666666,0.7522658610271903,0.645021645021645,0.8527397260273972,False
10,CV17_THY_CONT_RATIO,diverse,0.5,365.2007648183556,134,57,58,274,0.6979166666666666,0.8277945619335347,0.7015706806282722,0.8253012048192772,False
