feature_set,fold,model,n_train,n_test,events_test,eval_times,brier_grid,inner_best_c,c_harrell,metric_failures,c_uno,auc_time_dependent,auc_at_last_time,integrated_brier
CV17_THY_CONT,3,RSF,6451,1612,201,"7.000,10.000",0.147-14.306,0.7900277350254294,0.7899546543203995,,0.7827122952197122,0.8224065670904851,0.8186587371422218,0.08622776900466075
CV17_THY_CONT,4,RSF,6451,1612,201,"7.000,10.000",0.152-14.769,0.7952891295335811,0.7862314054517021,,0.7796144937879783,0.8186777338091189,0.8257976441843489,0.0896898176894002
CV17_THY_STATES,0,Cox,6450,1613,202,"7.000,10.000",0.152-14.769,,0.7855877190772512,,0.7845415093103757,0.82073943629194,0.8162635999274874,0.08788234883424917
CV17_THY_STATES,1,Cox,6450,1613,202,"7.000,10.000",0.152-14.769,,0.7807490487361022,,0.7639428073315095,0.8218994704349127,0.8217671702627473,0.08374586030842783
CV17_THY_STATES,2,Cox,6450,1613,202,"7.000,10.000",0.152-14.769,,0.8164119229328293,,0.8022413101284894,0.8520274030491001,0.8494647199097092,0.08604510963850161
CV17_THY_STATES,3,Cox,6451,1612,201,"7.000,10.000",0.147-14.306,,0.7914661769737498,,0.7787379229633696,0.8242452594811296,0.8200766839664262,0.08361967987108244
CV17_THY_STATES,4,Cox,6451,1612,201,"7.000,10.000",0.152-14.769,,0.7914981741016452,,0.7911401550651455,0.8313095096011859,0.8416691536729836,0.0896921494368697
CV17_THY_STATES,0,RSF,6450,1613,202,"7.000,10.000",0.152-14.769,0.7903726533940221,0.783458880239169,,0.7785707228266098,0.820275644224553,0.8107630431432519,0.0907284850762343
CV17_THY_STATES,1,RSF,6450,1613,202,"7.000,10.000",0.152-14.769,0.7904695883311296,0.7855467275249323,,0.7748567718516268,0.8309643807769038,0.8324954324956167,0.08797462751330144
CV17_THY_STATES,2,RSF,6450,1613,202,"7.000,10.000",0.152-14.769,0.7817870517032324,0.8097125345703594,,0.7962844896613483,0.8500475367220587,0.8411499740221616,0.08938889137784713
CV17_THY_STATES,3,RSF,6451,1612,201,"7.000,10.000",0.147-14.306,0.7896797891249969,0.7815741490647183,,0.7738907249423055,0.8197093912937713,0.8149317308105934,0.08708358975297997
CV17_THY_STATES,4,RSF,6451,1612,201,"7.000,10.000",0.152-14.769,0.7904306249334948,0.7820980999578148,,0.7792388104772962,0.8255587131424483,0.8360478156834492,0.09020982329860118
CV17_THY_CONT_STATES,0,Cox,6450,1613,202,"7.000,10.000",0.152-14.769,,0.7866248456906759,,0.784942144339991,0.8211186260440253,0.8157424409906295,0.08946717516782428
CV17_THY_CONT_STATES,1,Cox,6450,1613,202,"7.000,10.000",0.152-14.769,,0.7813514098218792,,0.7647628802183211,0.822289657130411,0.8218074781158287,0.08361380666585015
