horizon,feature_set,model,n,n_events,prevalence,threshold,f1_macro,roc_auc,auprc,brier,precision_event,recall_event,precision_free,recall_free
7,CV17_THY_CONT_RATIO,KNeighbors,2634,506,0.1921032649962035,0.5,0.6115705291815552,0.6997384766263485,0.32907618887860335,0.21896735003796508,0.33767772511848343,0.5632411067193676,0.876536312849162,0.737312030075188
7,CV17_THY_CONT_RATIO,RandomForest,2634,506,0.1921032649962035,0.5,0.6991567756613659,0.8289775513388213,0.5609069155857279,0.11866981776765374,0.5988857938718662,0.424901185770751,0.8720879120879121,0.9323308270676691
7,CV17_THY_CONT_RATIO,AdaBoost,2634,506,0.1921032649962035,0.5,0.6890408473298496,0.8265294845314868,0.5651960421335077,0.19514907266251344,0.430622009569378,0.7114624505928854,0.9187986651835373,0.7763157894736842
7,CV17_THY_CONT_RATIO,MLP,2634,506,0.1921032649962035,0.5,0.6992070126807433,0.8339140836280424,0.5862282053965415,0.15663158048296516,0.4437726723095526,0.7252964426877471,0.9230769230769231,0.7838345864661654
7,CV17_THY_CONT_RATIO,GradientBoosting,2634,506,0.1921032649962035,0.5,0.7071927766037156,0.8289891601533478,0.5685873959240948,0.14806109676077642,0.46296296296296297,0.691699604743083,0.9169329073482428,0.8092105263157895
7,CV17_THY_CONT_RATIO,XGBoost,2634,506,0.1921032649962035,0.5,0.6960284448547663,0.8011419358673363,0.5371409652643233,0.1396402721583495,0.55,0.45652173913043476,0.8757904245709124,0.9111842105263158
10,CV17,LogisticRegression,1568,577,0.367984693877551,0.5,0.7738621420996818,0.8634679183710587,0.7925390809843573,0.14926746920468265,0.6760772659732541,0.7885615251299827,0.8636871508379889,0.7800201816347124
10,CV17,SVC,1568,577,0.367984693877551,0.5,0.76549764450759,0.8511770579933439,0.7603878693459802,0.15316997858005404,0.6686656671664168,0.7729636048526863,0.8546059933407325,0.7769929364278506
10,CV17,KNeighbors,1568,577,0.367984693877551,0.5,0.7063117905430571,0.773355345422494,0.6241823594598921,0.1980357142857143,0.6141479099678456,0.6620450606585788,0.7938689217758985,0.7578203834510595
10,CV17,RandomForest,1568,577,0.367984693877551,0.5,0.7758067635369609,0.8591727628378107,0.7751758932365008,0.14569107142857143,0.7087542087542088,0.729636048526863,0.839835728952772,0.8254288597376388
10,CV17,AdaBoost,1568,577,0.367984693877551,0.5,0.7619380595881902,0.8440216716479512,0.7573761637181677,0.18935456592354855,0.672360248447205,0.7504332755632582,0.8441558441558441,0.7870837537840565
10,CV17,MLP,1568,577,0.367984693877551,0.5,0.7604681561801381,0.852752764481722,0.7797417588131543,0.15700058039767184,0.658357771260997,0.7781629116117851,0.8555304740406321,0.7648839556004037
10,CV17,GradientBoosting,1568,577,0.367984693877551,0.5,0.7633093870717633,0.8570278083339309,0.7842070273828464,0.15049056158382948,0.6771653543307087,0.7452339688041595,0.842443729903537,0.79313824419778
10,CV17,XGBoost,1568,577,0.367984693877551,0.5,0.7499515660316436,0.8332391873481787,0.749908813613853,0.17350181762813766,0.6897163120567376,0.6741767764298093,0.8127490039840638,0.8234106962663976
10,CV17_THY_CONT,LogisticRegression,1568,577,0.367984693877551,0.5,0.7786961849182779,0.8642216691995727,0.7932573379731984,0.1490749959531243,0.6804733727810651,0.7972270363951474,0.8688340807174888,0.7820383451059536
10,CV17_THY_CONT,SVC,1568,577,0.367984693877551,0.5,0.7624910739402333,0.852885676460764,0.7647700853117135,0.15310571971595358,0.6636904761904762,0.7729636048526863,0.8537946428571429,0.7719475277497477
10,CV17_THY_CONT,KNeighbors,1568,577,0.367984693877551,0.5,0.7105053447280921,0.7745087066090481,0.6218977496691365,0.19775510204081637,0.6164817749603804,0.6741767764298093,0.7993596584845251,0.7558022199798183
10,CV17_THY_CONT,RandomForest,1568,577,0.367984693877551,0.5,0.7817128856220069,0.8592488374573938,0.7854199342703633,0.14595401785714288,0.7174280879864636,0.7348353552859619,0.8433981576253838,0.8314833501513622
10,CV17_THY_CONT,AdaBoost,1568,577,0.367984693877551,0.5,0.762167947413539,0.8463030358145319,0.7665522023749435,0.1906186649941604,0.6681887366818874,0.7608318890814558,0.8485181119648738,0.7800201816347124
