horizon,feature_set,model,sampler,status,replication_only,n,n_events,prevalence,threshold,f1_macro,roc_auc,auprc,brier,precision_event,recall_event,precision_free,recall_free
7,CV17_THY_STATES,MLP,BorderlineSMOTE,ok,True,878,169,0.19248291571753987,0.5,0.706423569008723,0.8080052745345141,0.5465968950650815,0.15457004694484092,0.4721030042918455,0.650887573964497,0.9085271317829458,0.8265162200282088
7,CV17_THY_STATES,MLP,SVMSMOTE,ok,True,878,169,0.19248291571753987,0.5,0.6967621707178779,0.8205740229175186,0.5864058498087551,0.14575347189813287,0.4608695652173913,0.6272189349112426,0.9027777777777778,0.8251057827926658
7,CV17_THY_STATES,RandomForest,none,ok,False,878,169,0.19248291571753987,0.5,0.6694899303594956,0.8365061216314336,0.6075708525943245,0.11289858754768779,0.7391304347826086,0.30177514792899407,0.8541409147095179,0.9746121297602257
7,CV17_THY_STATES,RandomForest,class_weight,ok,False,878,169,0.19248291571753987,0.5,0.7121767046482186,0.8363058228524215,0.598611603971361,0.13649265504412625,0.4885844748858447,0.6331360946745562,0.9059180576631259,0.842031029619182
7,CV17_THY_STATES,RandomForest,RandomOverSampler,ok,False,878,169,0.19248291571753987,0.5,0.7122320422101603,0.830238439004849,0.6000016040953445,0.13642411368749077,0.49074074074074076,0.6272189349112426,0.904833836858006,0.844851904090268
7,CV17_THY_STATES,RandomForest,SMOTENC,ok,False,878,169,0.19248291571753987,0.5,0.7000432236133053,0.8185126146501865,0.5495003452786366,0.14272446801604885,0.4724770642201835,0.6094674556213018,0.9,0.8377997179125529
7,CV17_THY_STATES,RandomForest,SMOTE,ok,True,878,169,0.19248291571753987,0.5,0.7180979475716318,0.8270420043231154,0.5894345027036305,0.12948057574958913,0.5303867403314917,0.5680473372781065,0.8952654232424677,0.8801128349788434
7,CV17_THY_STATES,RandomForest,BorderlineSMOTE,ok,True,878,169,0.19248291571753987,0.5,0.7347995036572623,0.8275427512706454,0.573863518606433,0.129606325221581,0.5586592178770949,0.591715976331361,0.9012875536480687,0.8885754583921015
7,CV17_THY_STATES,RandomForest,SVMSMOTE,ok,True,878,169,0.19248291571753987,0.5,0.733774150308551,0.8278598910040811,0.6039231856416956,0.12457401756695842,0.5714285714285714,0.5680473372781065,0.8971830985915493,0.8984485190409027
7,CV17_THY_STATES,SVC,none,ok,False,878,169,0.19248291571753987,0.5,0.6154487504221546,0.8216840119845435,0.5465900668519567,0.12598466785237641,0.5180722891566265,0.25443786982248523,0.8415094339622642,0.9435825105782792
7,CV17_THY_STATES,SVC,class_weight,ok,False,878,169,0.19248291571753987,0.5,0.4467548834278513,0.8173275135410321,0.5652700574749028,0.15207499422130222,0.0,0.0,0.8075170842824602,1.0
7,CV17_THY_STATES,SVC,RandomOverSampler,ok,False,878,169,0.19248291571753987,0.5,0.7039407663464975,0.8171939810216907,0.5703387632157585,0.18259555462987503,0.5054347826086957,0.5502958579881657,0.8904899135446686,0.8716502115655853
7,CV17_THY_STATES,SVC,SMOTENC,ok,False,878,169,0.19248291571753987,0.5,0.7030006367398918,0.8165179726425251,0.5749076714715153,0.21487004500957071,0.4973821989528796,0.5621301775147929,0.8922852983988355,0.8645980253878702
7,CV17_THY_STATES,SVC,SMOTE,ok,True,878,169,0.19248291571753987,0.5,0.7073928063401748,0.8180243863763447,0.5701547900558469,0.1810188849342669,0.5138121546961326,0.5502958579881657,0.890961262553802,0.8758815232722144
7,CV17_THY_STATES,SVC,BorderlineSMOTE,ok,True,878,169,0.19248291571753987,0.5,0.7108788091376351,0.8224643426444446,0.5779881557403004,0.20399196688930823,0.5224719101123596,0.5502958579881657,0.8914285714285715,0.8801128349788434
7,CV17_THY_STATES,SVC,SVMSMOTE,ok,True,878,169,0.19248291571753987,0.5,0.7007379693556441,0.8094824780297276,0.559830438037481,0.14039423949944943,0.49222797927461137,0.5621301775147929,0.891970802919708,0.8617771509167842
7,CV17_THY_STATES,XGBoost,none,ok,False,878,169,0.19248291571753987,0.5,0.4467548834278513,0.8180577695061801,0.564997511056233,0.15460586557402975,0.0,0.0,0.8075170842824602,1.0
7,CV17_THY_STATES,XGBoost,RandomOverSampler,ok,False,878,169,0.19248291571753987,0.5,0.685966627004363,0.8183707363483863,0.570789806497832,0.2464561798274725,0.43529411764705883,0.6568047337278107,0.9069020866773676,0.7968970380818053
7,CV17_THY_STATES,XGBoost,SMOTENC,ok,False,878,169,0.19248291571753987,0.5,0.6917236142748671,0.8164637250565427,0.5774367831685415,0.247163666964749,0.43703703703703706,0.6982248520710059,0.9161184210526315,0.7856135401974612
7,CV17_THY_STATES,XGBoost,SMOTE,ok,True,878,169,0.19248291571753987,0.5,0.6902596888341721,0.8188923477520635,0.5712735393524941,0.2464438808067075,0.4448979591836735,0.6449704142011834,0.9052132701421801,0.8081805359661495
7,CV17_THY_STATES,XGBoost,BorderlineSMOTE,ok,True,878,169,0.19248291571753987,0.5,0.6805428381745601,0.8237954949466287,0.5787781849896276,0.24690076941849112,0.4227941176470588,0.6804733727810651,0.9108910891089109,0.7785613540197461
7,CV17_THY_STATES,XGBoost,SVMSMOTE,ok,True,878,169,0.19248291571753987,0.5,0.6950233674371606,0.8101000659316814,0.5569535457109397,0.2447365543352945,0.48205128205128206,0.5562130177514792,0.890190336749634,0.8575458392101551
