seed,feature_set,fold,model,n_train,n_test,events_test,eval_times,brier_grid,inner_best_c,c_harrell,metric_failures,c_uno,auc_time_dependent,auc_at_last_time,integrated_brier
2,CV17,3,RSF,6451,1612,201,"7.000,10.000",0.143-13.886,,0.8213599875436836,,0.823123539568875,0.8757087945721916,0.8778319130468412,0.07984655256942252
2,CV17,4,RSF,6451,1612,201,"7.000,10.000",0.152-14.769,,0.8001207344394988,,0.7811068717589875,0.8411318488545059,0.832967474757195,0.08518776983346717
2,CV17_THY_CONT,0,RSF,6450,1613,202,"7.000,10.000",0.152-14.769,,0.7783645522125942,,0.7602180840086589,0.8088987178413449,0.7969521667403464,0.08787070423529166
2,CV17_THY_CONT,1,RSF,6450,1613,202,"7.000,10.000",0.152-14.769,,0.7569950252933397,,0.7568149106991071,0.7955774413352822,0.7975549780602142,0.09694669312223819
2,CV17_THY_CONT,2,RSF,6450,1613,202,"7.000,10.000",0.152-14.769,,0.7979190530736923,,0.7813412745285062,0.824827078446675,0.8170854900470093,0.08498319420010397
2,CV17_THY_CONT,3,RSF,6451,1612,201,"7.000,10.000",0.143-13.886,,0.825313137953704,,0.8189004812524547,0.865331347921632,0.8615775911044957,0.08100928599616601
2,CV17_THY_CONT,4,RSF,6451,1612,201,"7.000,10.000",0.152-14.769,,0.8037300139864897,,0.7879991806750467,0.8387064760255437,0.8360730149109397,0.08568949527449095
3,CV17,0,RSF,6450,1613,202,"7.000,10.000",0.152-14.769,,0.8072176275690547,,0.785822621850869,0.8457075773447562,0.8295553809457656,0.08846453383296995
3,CV17,1,RSF,6450,1613,202,"7.000,10.000",0.152-14.769,,0.7766434980955865,,0.764526809109456,0.8313743031925392,0.8294384724384976,0.08959584189086675
3,CV17,2,RSF,6450,1613,202,"7.000,10.000",0.152-14.769,,0.7729130973181116,,0.7686167865131367,0.8112353635345319,0.8211784079404364,0.08917361473647285
3,CV17,3,RSF,6451,1612,201,"7.000,10.000",0.152-14.769,,0.7831738746985333,,0.7908559101575898,0.8328004594700826,0.8380416785595742,0.08989814788775471
3,CV17,4,RSF,6451,1612,201,"7.000,10.000",0.147-14.306,,0.7850091407678245,,0.7875578270745782,0.826923603964655,0.8347538183100902,0.08272812683542789
3,CV17_THY_CONT,0,RSF,6450,1613,202,"7.000,10.000",0.152-14.769,,0.8190312332314087,,0.7888208732442902,0.8468434672802444,0.8201992129498445,0.08798644717403784
3,CV17_THY_CONT,1,RSF,6450,1613,202,"7.000,10.000",0.152-14.769,,0.7893740182049019,,0.7687289166895842,0.8306742046069554,0.8207651887767159,0.0885694536798754
3,CV17_THY_CONT,2,RSF,6450,1613,202,"7.000,10.000",0.152-14.769,,0.779371851198453,,0.7766685307011255,0.8074227775554567,0.8222725058943433,0.08950516447654372
3,CV17_THY_CONT,3,RSF,6451,1612,201,"7.000,10.000",0.152-14.769,,0.7886075896458472,,0.7948068557561542,0.8315025227850549,0.8349921515319872,0.08917730228614489
3,CV17_THY_CONT,4,RSF,6451,1612,201,"7.000,10.000",0.147-14.306,,0.7980485523574677,,0.7908220343394696,0.8262252049068635,0.8260579318845155,0.08344086886971755
4,CV17,0,RSF,6450,1613,202,"7.000,10.000",0.152-14.769,,0.7934539642103423,,0.7824935486156444,0.8198213981661967,0.8302288410812857,0.08503613809440425
4,CV17,1,RSF,6450,1613,202,"7.000,10.000",0.152-14.769,,0.7990556662196704,,0.7860766182141016,0.8407300855890709,0.8353876018259035,0.08754146846166601
4,CV17,2,RSF,6450,1613,202,"7.000,10.000",0.152-14.769,,0.7822386563048384,,0.7865058736447932,0.835707600625013,0.8453304599265827,0.0883831714529496
4,CV17,3,RSF,6451,1612,201,"7.000,10.000",0.147-14.306,,0.794213184707829,,0.7857475215801172,0.8342557863757492,0.8389150341448424,0.08784050691269284
4,CV17,4,RSF,6451,1612,201,"7.000,10.000",0.152-14.769,,0.7643818437376382,,0.7558308752806902,0.8220498479535749,0.8042150087669606,0.08935820142691724
4,CV17_THY_CONT,0,RSF,6450,1613,202,"7.000,10.000",0.152-14.769,,0.8038020787805376,,0.7873619402392056,0.8240539248859694,0.8299822206767884,0.08561757918622849
4,CV17_THY_CONT,1,RSF,6450,1613,202,"7.000,10.000",0.152-14.769,,0.8021412421287436,,0.7844070961405742,0.8322522195375804,0.8199839711217335,0.08733039093073215
4,CV17_THY_CONT,2,RSF,6450,1613,202,"7.000,10.000",0.152-14.769,,0.7932146736859698,,0.7953190295830327,0.8362039558366671,0.8437008080530519,0.08674971050324431
4,CV17_THY_CONT,3,RSF,6451,1612,201,"7.000,10.000",0.147-14.306,,0.8025124096490465,,0.7869272644081478,0.8239333027938605,0.8283819446663354,0.08872704630288218
4,CV17_THY_CONT,4,RSF,6451,1612,201,"7.000,10.000",0.152-14.769,,0.7736148401269222,,0.7669061292530358,0.8234213062736486,0.8026711015426855,0.08940707831243243
