horizon,feature_set,model,sampler,n,n_events,prevalence,threshold,f1_macro,roc_auc,auprc,brier,precision_event,recall_event,precision_free,recall_free
7,CV17_THY_CONT,AdaBoost,RandomOverSampler,878,169,0.19248291571753987,0.5,0.6952943509547282,0.8309728678612263,0.6140548670212052,0.2183405764977641,0.4470588235294118,0.6745562130177515,0.9117174959871589,0.8011283497884344
7,CV17_THY_CONT,AdaBoost,SMOTENC,878,169,0.19248291571753987,0.5,0.707830415689684,0.8111516345214946,0.5868308234595624,0.22425454809627424,0.49038461538461536,0.6035502958579881,0.9,0.8504936530324401
10,CV17,LogisticRegression,none,523,193,0.3690248565965583,0.5,0.7246264166081637,0.8084157638561784,0.7406371025787959,0.16546964669230532,0.7310344827586207,0.5492227979274611,0.7698412698412699,0.8818181818181818
10,CV17,LogisticRegression,class_weight,523,193,0.3690248565965583,0.5,0.726262315270936,0.8077406186214476,0.740344595234687,0.17324861596185787,0.6338028169014085,0.6994818652849741,0.8129032258064516,0.7636363636363637
10,CV17,LogisticRegression,RandomOverSampler,523,193,0.3690248565965583,0.5,0.726262315270936,0.8084942691160308,0.741086421565339,0.17257329419875653,0.6338028169014085,0.6994818652849741,0.8129032258064516,0.7636363636363637
10,CV17,LogisticRegression,SMOTENC,523,193,0.3690248565965583,0.5,0.7239999229598814,0.8045376040194692,0.7390219421650751,0.17536979752384854,0.6320754716981132,0.694300518134715,0.8102893890675241,0.7636363636363637
10,CV17,RandomForest,none,523,193,0.3690248565965583,0.5,0.7352633813396036,0.8076307112576542,0.7529110612121417,0.164453050766574,0.7142857142857143,0.5958549222797928,0.7845303867403315,0.8606060606060606
10,CV17,RandomForest,class_weight,523,193,0.3690248565965583,0.5,0.7313563342783092,0.8084785680640602,0.7536545773032359,0.1675274802680415,0.6597938144329897,0.6632124352331606,0.8024316109422492,0.8
10,CV17,RandomForest,RandomOverSampler,523,193,0.3690248565965583,0.5,0.7271885023823612,0.8049144292667609,0.7511794554766851,0.16907492815535297,0.6467661691542289,0.6735751295336787,0.8043478260869565,0.7848484848484848
10,CV17,RandomForest,SMOTENC,523,193,0.3690248565965583,0.5,0.7452548231104046,0.8024650651593657,0.7541764764469279,0.17059464987616674,0.67,0.694300518134715,0.8173374613003096,0.8
10,CV17,AdaBoost,none,523,193,0.3690248565965583,0.5,0.734547710354162,0.8041843303501335,0.7539171362040279,0.21766493055032246,0.695906432748538,0.616580310880829,0.7897727272727273,0.8424242424242424
10,CV17,AdaBoost,RandomOverSampler,523,193,0.3690248565965583,0.5,0.7287848297213623,0.8080938922907834,0.7529176625820599,0.22012720036729636,0.642512077294686,0.689119170984456,0.810126582278481,0.7757575757575758
10,CV17,AdaBoost,SMOTENC,523,193,0.3690248565965583,0.5,0.7301594746716698,0.8051028418904067,0.7515757143030268,0.22112723460777334,0.6548223350253807,0.6683937823834197,0.803680981595092,0.793939393939394
10,CV17_THY_CONT,LogisticRegression,none,523,193,0.3690248565965583,0.5,0.7237656603215517,0.8106453132359869,0.7441435642031912,0.16601439402403595,0.7463768115942029,0.533678756476684,0.7662337662337663,0.8939393939393939
10,CV17_THY_CONT,LogisticRegression,class_weight,523,193,0.3690248565965583,0.5,0.7340880952288543,0.8102056837808134,0.7435931985370501,0.17343981976226913,0.6519607843137255,0.689119170984456,0.8119122257053292,0.7848484848484848
10,CV17_THY_CONT,LogisticRegression,RandomOverSampler,523,193,0.3690248565965583,0.5,0.735107966517814,0.8103155911446066,0.746024404886011,0.17217094237759956,0.6490384615384616,0.6994818652849741,0.8158730158730159,0.7787878787878788
10,CV17_THY_CONT,LogisticRegression,SMOTENC,523,193,0.3690248565965583,0.5,0.7111826967326278,0.8038153556288272,0.7376608823945091,0.17692013248380864,0.6129032258064516,0.689119170984456,0.803921568627451,0.7454545454545455
10,CV17_THY_CONT,RandomForest,none,523,193,0.3690248565965583,0.5,0.7341171196054649,0.8110849426911604,0.74415670284096,0.16588629696021423,0.6875,0.6269430051813472,0.792507204610951,0.8333333333333334
10,CV17_THY_CONT,RandomForest,class_weight,523,193,0.3690248565965583,0.5,0.733027054619704,0.8085570733239127,0.7390611169044832,0.17049295577006282,0.655,0.6787564766839378,0.8080495356037152,0.7909090909090909
10,CV17_THY_CONT,RandomForest,RandomOverSampler,523,193,0.3690248565965583,0.5,0.7363747751101185,0.8096247448579055,0.7431122470514108,0.17023704976250564,0.6536585365853659,0.694300518134715,0.8144654088050315,0.7848484848484848
10,CV17_THY_CONT,RandomForest,SMOTENC,523,193,0.3690248565965583,0.5,0.7229755069690116,0.8023237556916314,0.7374284699658519,0.1734050705487228,0.6346153846153846,0.6839378238341969,0.8063492063492064,0.7696969696969697
10,CV17_THY_CONT,AdaBoost,none,523,193,0.3690248565965583,0.5,0.7312468910969239,0.8026063746271,0.7350026143580686,0.1886632270828309,0.717948717948718,0.5803108808290155,0.779291553133515,0.8666666666666667
10,CV17_THY_CONT,AdaBoost,RandomOverSampler,523,193,0.3690248565965583,0.5,0.723492932091738,0.8036426440571518,0.7387887766443362,0.19909804301530898,0.6333333333333333,0.689119170984456,0.8083067092651757,0.7666666666666667
10,CV17_THY_CONT,AdaBoost,SMOTENC,523,193,0.3690248565965583,0.5,0.7320583193698118,0.804726016643115,0.7414550471817872,0.19877619386534218,0.6415094339622641,0.7046632124352331,0.8167202572347267,0.7696969696969697
