horizon,rep,fold,n_train,n_valid,n_test,arm,probabilities,n,n_events,prevalence,threshold,f1_macro,roc_auc,auprc,brier,precision_event,recall_event,precision_free,recall_free,elapsed_s
7,2,0,2634,878,878,thy_locked,calibrated,878,168,0.19134396355353075,0.30999999999999994,0.7362850277514552,0.8574782025486251,0.624472382026798,0.10776226801076876,0.5792682926829268,0.5654761904761905,0.8977591036414566,0.9028169014084507,117.7
7,2,0,2634,878,878,thy_locked,uncalibrated,878,168,0.19134396355353075,0.30999999999999994,0.5713851565518844,0.8574782025486251,0.624472382026798,0.1479584966578806,0.313373253493014,0.9345238095238095,0.9708222811671088,0.5154929577464789,117.7
7,2,0,2634,878,878,thy_own,calibrated,878,168,0.19134396355353075,0.37999999999999995,0.7374401913875598,0.8569081153588196,0.6252387717565068,0.1082574717274117,0.6323529411764706,0.5119047619047619,0.889487870619946,0.9295774647887324,117.7
7,2,0,2634,878,878,thy_own,uncalibrated,878,168,0.19134396355353075,0.37999999999999995,0.6947652576518555,0.8569081153588196,0.6252387717565068,0.14076326123526142,0.42507645259938837,0.8273809523809523,0.9473684210526315,0.7352112676056338,117.7
7,2,1,2634,878,878,base,calibrated,878,168,0.19134396355353075,0.25999999999999995,0.710056788356001,0.8300217974513748,0.5910639018173057,0.11208908639077753,0.48826291079812206,0.6190476190476191,0.9037593984962407,0.8464788732394366,118.6
7,2,1,2634,878,878,base,uncalibrated,878,168,0.19134396355353075,0.25999999999999995,0.4425090931895146,0.8300217974513748,0.5910639018173057,0.15829810694887766,0.25,0.9464285714285714,0.9628099173553719,0.32816901408450705,118.6
7,2,1,2634,878,878,thy_locked,calibrated,878,168,0.19134396355353075,0.25999999999999995,0.719825806209408,0.8331656606304494,0.5988765240078225,0.11168825808451219,0.4954954954954955,0.6547619047619048,0.9115853658536586,0.8422535211267606,118.6
7,2,1,2634,878,878,thy_locked,uncalibrated,878,168,0.19134396355353075,0.25999999999999995,0.4324291917986039,0.8331656606304494,0.5988765240078225,0.15755907969570196,0.24769230769230768,0.9583333333333334,0.9692982456140351,0.3112676056338028,118.6
7,2,1,2634,878,878,thy_own,calibrated,878,168,0.19134396355353075,0.38999999999999996,0.7286101678566652,0.8330231388329981,0.5883430560168627,0.11199983159561343,0.5906040268456376,0.5238095238095238,0.8902606310013718,0.9140845070422535,118.6
7,2,1,2634,878,878,thy_own,uncalibrated,878,168,0.19134396355353075,0.38999999999999996,0.6516319641559996,0.8330231388329981,0.5883430560168627,0.15247834848749064,0.37567567567567567,0.8273809523809523,0.9429133858267716,0.6746478873239437,118.6
7,2,2,2634,878,878,base,calibrated,878,169,0.19248291571753987,0.37999999999999995,0.7249486344653555,0.8145900968945343,0.6081838579853056,0.11408804521193515,0.577922077922078,0.5266272189349113,0.8895027624309392,0.9083215796897038,119.1
7,2,2,2634,878,878,base,uncalibrated,878,169,0.19248291571753987,0.37999999999999995,0.6091604691593961,0.8145900968945343,0.6081838579853056,0.16447057908353876,0.33726415094339623,0.8461538461538461,0.9427312775330396,0.6036671368124118,119.1
7,2,2,2634,878,878,thy_locked,calibrated,878,169,0.19248291571753987,0.37999999999999995,0.7173610105885377,0.8160088799125362,0.6039339028754319,0.11484466327365224,0.564935064935065,0.514792899408284,0.8867403314917127,0.9055007052186178,119.1
7,2,2,2634,878,878,thy_locked,uncalibrated,878,169,0.19248291571753987,0.37999999999999995,0.5986924323073363,0.8160088799125362,0.6039339028754319,0.16344077405102478,0.32786885245901637,0.8284023668639053,0.9356984478935698,0.5952045133991537,119.1
7,2,2,2634,878,878,thy_own,calibrated,878,169,0.19248291571753987,0.41999999999999993,0.7213366670091677,0.8167516545513724,0.6063480493331165,0.1141235961299426,0.6136363636363636,0.47928994082840237,0.8820375335120644,0.9280677009873061,119.1
7,2,2,2634,878,878,thy_own,uncalibrated,878,169,0.19248291571753987,0.41999999999999993,0.6578794602030997,0.8167516545513724,0.6063480493331165,0.15683305884422943,0.3855421686746988,0.757396449704142,0.924908424908425,0.7122708039492243,119.1
7,2,3,2634,878,878,base,calibrated,878,169,0.19248291571753987,0.3999999999999999,0.7466528162511542,0.8646397543001645,0.6470531986857754,0.10453210372038421,0.6363636363636364,0.5384615384615384,0.8938775510204081,0.926657263751763,118.2
7,2,3,2634,878,878,base,uncalibrated,878,169,0.19248291571753987,0.3999999999999999,0.623005507248458,0.8646397543001645,0.6470531986857754,0.16387227177872504,0.35091743119266056,0.9053254437869822,0.9638009049773756,0.6008462623413258,118.2
7,2,3,2634,878,878,thy_locked,calibrated,878,169,0.19248291571753987,0.3999999999999999,0.7530239099859353,0.8691715141753116,0.6418911349214603,0.10369793960903267,0.6394557823129252,0.5562130177514792,0.8974008207934336,0.92524682651622,118.2
7,2,3,2634,878,878,thy_locked,uncalibrated,878,169,0.19248291571753987,0.3999999999999999,0.6381420079873688,0.8691715141753116,0.6418911349214603,0.16233305552739177,0.3640661938534279,0.9112426035502958,0.967032967032967,0.6205923836389281,118.2
7,2,3,2634,878,878,thy_own,calibrated,878,169,0.19248291571753987,0.32999999999999996,0.7415801202539629,0.8663172565743902,0.6422258747116515,0.10400364900826659,0.5585106382978723,0.621301775147929,0.9072463768115943,0.8829337094499294,118.2
7,2,3,2634,878,878,thy_own,uncalibrated,878,169,0.19248291571753987,0.32999999999999996,0.5524254450311336,0.8663172565743902,0.6422258747116515,0.15529200553961553,0.30451127819548873,0.9585798816568047,0.9797687861271677,0.4781382228490832,118.2
7,2,4,2634,878,878,base,calibrated,878,169,0.19248291571753987,0.42999999999999994,0.7185824302433361,0.8330008929987232,0.5900756471838123,0.11412200121886151,0.5686274509803921,0.514792899408284,0.886896551724138,0.9069111424541608,120.1
7,2,4,2634,878,878,base,uncalibrated,878,169,0.19248291571753987,0.42999999999999994,0.6409258077124484,0.8330008929987232,0.5900756471838123,0.1707853112811555,0.36578947368421055,0.8224852071005917,0.9397590361445783,0.6600846262341326,120.1
7,2,4,2634,878,878,thy_locked,calibrated,878,169,0.19248291571753987,0.42999999999999994,0.733810675697468,0.8343946386693484,0.607607483317623,0.11209095243830929,0.5897435897435898,0.5443786982248521,0.8933518005540166,0.9097320169252469,120.1
7,2,4,2634,878,878,thy_locked,uncalibrated,878,169,0.19248291571753987,0.42999999999999994,0.6612045044006303,0.8343946386693484,0.607607483317623,0.16758798866917105,0.3867403314917127,0.8284023668639053,0.9437984496124031,0.68688293370945,120.1
7,2,4,2634,878,878,thy_own,calibrated,878,169,0.19248291571753987,0.4599999999999999,0.726923597025017,0.834469750711478,0.6043624296023162,0.1118850756886889,0.6131386861313869,0.4970414201183432,0.8852901484480432,0.92524682651622,120.1
7,2,4,2634,878,878,thy_own,uncalibrated,878,169,0.19248291571753987,0.4599999999999999,0.6842033634684553,0.834469750711478,0.6043624296023162,0.16063089469648534,0.416403785488959,0.7810650887573964,0.9340463458110517,0.7390691114245416,120.1
7,3,0,2634,878,878,base,calibrated,878,168,0.19134396355353075,0.41999999999999993,0.7341810475325462,0.8568494299128102,0.6313668058191316,0.1063840639623341,0.6666666666666666,0.47619047619047616,0.8839050131926122,0.9436619718309859,119.1
7,3,0,2634,878,878,base,uncalibrated,878,168,0.19134396355353075,0.41999999999999993,0.6764258012511389,0.8568494299128102,0.6313668058191316,0.15305134014287342,0.4028985507246377,0.8273809523809523,0.9455909943714822,0.7098591549295775,119.1
7,3,0,2634,878,878,thy_locked,calibrated,878,168,0.19134396355353075,0.41999999999999993,0.7385372753752664,0.8580985915492958,0.6294710166150932,0.10630266828791742,0.6587301587301587,0.49404761904761907,0.886968085106383,0.9394366197183098,119.1
