horizon,feature_set,k,rep_fold,model,n,n_events,prevalence,threshold,f1_macro,roc_auc,auprc,brier,precision_event,recall_event,precision_free,recall_free
7,CV17,3,12,LogisticRegression,878,168,0.19134396355353075,0.5,0.6997720364741642,0.8215962441314553,0.5697140628290011,0.18086816051103036,0.44485294117647056,0.7202380952380952,0.9224422442244224,0.7873239436619718
7,CV17,3,12,RandomForest,878,168,0.19134396355353075,0.5,0.7031974543824453,0.8228789403085178,0.581416528563136,0.1469571365410824,0.4658119658119658,0.6488095238095238,0.9083850931677019,0.823943661971831
7,CV17,3,12,AdaBoost,878,168,0.19134396355353075,0.5,0.6917236142748671,0.8189973172367538,0.5785083971951035,0.2126139296050381,0.4354243542435424,0.7023809523809523,0.9176276771004942,0.7845070422535211
7,CV17,3,12,paper_ensemble,878,168,0.19134396355353075,0.5,0.7103193133078162,0.8265006706908116,0.5881090847316813,0.17227096903931408,0.46938775510204084,0.6845238095238095,0.9162717219589257,0.8169014084507042
7,CV17,5,12,LogisticRegression,878,168,0.19134396355353075,0.5,0.6962833330209273,0.8269785378940308,0.586947451927073,0.169855602469024,0.4377224199288256,0.7321428571428571,0.9246231155778895,0.7774647887323943
7,CV17,5,12,RandomForest,878,168,0.19134396355353075,0.5,0.701109241126071,0.8177984574111334,0.582121630000358,0.13812129115068872,0.47641509433962265,0.6011904761904762,0.8993993993993994,0.8436619718309859
7,CV17,5,12,AdaBoost,878,168,0.19134396355353075,0.5,0.704942454667027,0.8235119047619047,0.5919166047826339,0.19726612526573659,0.45185185185185184,0.7261904761904762,0.9243421052631579,0.7915492957746478
7,CV17,5,12,paper_ensemble,878,168,0.19134396355353075,0.5,0.7127651214007,0.8272887323943662,0.5987168146482101,0.1591778815593331,0.4767932489451477,0.6726190476190477,0.9141965678627145,0.8253521126760563
7,CV17,2,13,LogisticRegression,878,169,0.19248291571753987,0.5,0.6923894634119663,0.829378823411589,0.5931411668181342,0.16785223807213928,0.4352517985611511,0.7159763313609467,0.92,0.7785613540197461
7,CV17,2,13,RandomForest,878,169,0.19248291571753987,0.5,0.694599655123926,0.8316906051526861,0.5616978169717858,0.14371113727036114,0.4585152838427948,0.621301775147929,0.901386748844376,0.8251057827926658
7,CV17,2,13,AdaBoost,878,169,0.19248291571753987,0.5,0.6867750833137557,0.8306765925839378,0.5714953555609704,0.19369060812799874,0.4323308270676692,0.6804733727810651,0.9117647058823529,0.7870239774330042
7,CV17,2,13,paper_ensemble,878,169,0.19248291571753987,0.5,0.7017257779589618,0.8371320553158461,0.5909848990877491,0.16244427175432835,0.4578313253012048,0.6745562130177515,0.9125596184419714,0.8095909732016925
7,CV17,3,13,LogisticRegression,878,169,0.19248291571753987,0.5,0.7015128335883053,0.8299212992714132,0.5942077199666125,0.1774834627908573,0.4549019607843137,0.6863905325443787,0.9149277688603531,0.8039492242595204
7,CV17,3,13,RandomForest,878,169,0.19248291571753987,0.5,0.6913507152848188,0.8337687049849358,0.5680784767142876,0.14248379611379497,0.45414847161572053,0.6153846153846154,0.8998459167950693,0.8236953455571228
7,CV17,3,13,AdaBoost,878,169,0.19248291571753987,0.5,0.6899197157882959,0.8260488562105139,0.5595128851391458,0.21578890265128375,0.4372623574144487,0.6804733727810651,0.9121951219512195,0.7912552891396333
7,CV17,3,13,paper_ensemble,878,169,0.19248291571753987,0.5,0.7051675097971949,0.8383255022074596,0.5897894090039462,0.16975662925316823,0.4666666666666667,0.6627218934911243,0.9106583072100314,0.8194640338504936
7,CV17,5,13,LogisticRegression,878,169,0.19248291571753987,0.5,0.6893883850062295,0.8280268066532577,0.5904466655727542,0.16693963004198553,0.4316546762589928,0.7100591715976331,0.9183333333333333,0.7771509167842031
7,CV17,5,13,RandomForest,878,169,0.19248291571753987,0.5,0.7065571857714388,0.8262908839018203,0.5516065247919647,0.13480051701967657,0.5,0.5739644970414202,0.8947368421052632,0.8631875881523272
7,CV17,5,13,AdaBoost,878,169,0.19248291571753987,0.5,0.6916051984545135,0.829950509510019,0.5744900840631855,0.19759057124676538,0.4358974358974359,0.7041420118343196,0.9173553719008265,0.7827926657263752
7,CV17,5,13,paper_ensemble,878,169,0.19248291571753987,0.5,0.7086283185840708,0.8343445639745954,0.5854834518615702,0.156481005843813,0.47619047619047616,0.650887573964497,0.9088098918083463,0.8293370944992948
7,CV17,2,14,LogisticRegression,878,169,0.19248291571753987,0.5,0.7115943420540628,0.8549586466479164,0.5947194126538125,0.1674373299898675,0.4548611111111111,0.7751479289940828,0.9355932203389831,0.7785613540197461
7,CV17,2,14,RandomForest,878,169,0.19248291571753987,0.5,0.6996613314277629,0.8267081730247618,0.5733125754419174,0.1458022862284886,0.45564516129032256,0.6686390532544378,0.9111111111111111,0.8095909732016925
7,CV17,2,14,AdaBoost,878,169,0.19248291571753987,0.5,0.6964433642556396,0.8352333898064614,0.592673779688691,0.19687035504318812,0.4404332129963899,0.7218934911242604,0.9217970049916805,0.7813822284908322
