horizon,rep,fold,n_train,n_valid,n_test,comparison,metric,delta,ci_lo,ci_hi,p_bootstrap,n_boot_used,excludes_zero,threshold_base,threshold_other
7,1,1,2634,878,878,locked pipeline,auprc,0.011269914865676078,-0.0014822104778099197,0.025447663833340527,0.072,500,False,0.4599999999999999,0.4599999999999999
7,1,1,2634,878,878,locked pipeline,brier,-0.0019249985213158627,-0.003635274821503376,-0.00032783790671151537,0.02,500,True,0.4599999999999999,0.4599999999999999
7,1,1,2634,878,878,independently optimized,f1_macro,0.02824314230976266,0.005559519325499853,0.05173562487763204,0.012,500,True,0.4599999999999999,0.43999999999999995
7,1,1,2634,878,878,independently optimized,roc_auc,-0.0007461435278336426,-0.006513429674674409,0.005687990880963218,0.752,500,False,0.4599999999999999,0.43999999999999995
7,1,1,2634,878,878,independently optimized,auprc,0.015113702409591312,0.0022584310138235395,0.03000083424134605,0.02,500,True,0.4599999999999999,0.43999999999999995
7,1,1,2634,878,878,independently optimized,brier,-0.0016414180583752686,-0.0036541804385876145,0.00011493882850764398,0.096,500,False,0.4599999999999999,0.43999999999999995
7,1,2,2634,878,878,locked pipeline,f1_macro,0.015175247753635546,0.0013043375433747007,0.030344096996269127,0.032,500,True,0.3999999999999999,0.3999999999999999
7,1,2,2634,878,878,locked pipeline,roc_auc,0.0006843541616244897,-0.0037345660152134585,0.0054652157670755765,0.704,500,False,0.3999999999999999,0.3999999999999999
7,1,2,2634,878,878,locked pipeline,auprc,0.01154807191116436,-0.004910759746872553,0.02751340984743224,0.148,500,False,0.3999999999999999,0.3999999999999999
7,1,2,2634,878,878,locked pipeline,brier,-0.0006027622417832251,-0.002487987000515891,0.0012494784831565025,0.48,500,False,0.3999999999999999,0.3999999999999999
7,1,2,2634,878,878,independently optimized,f1_macro,0.012704459362761655,-0.005067008284499405,0.03001081096185956,0.164,500,False,0.3999999999999999,0.41999999999999993
7,1,2,2634,878,878,independently optimized,roc_auc,0.005708515201842679,0.0007284297701162986,0.011593656271410029,0.036,500,True,0.3999999999999999,0.41999999999999993
7,1,2,2634,878,878,independently optimized,auprc,0.01265156110472443,-0.0034507864327995986,0.02792938083728114,0.168,500,False,0.3999999999999999,0.41999999999999993
7,1,2,2634,878,878,independently optimized,brier,-0.0014803784144616083,-0.0034976544475612617,0.0004740306006948117,0.14,500,False,0.3999999999999999,0.41999999999999993
7,1,3,2634,878,878,locked pipeline,f1_macro,-0.010007979026558589,-0.030818976073810456,0.008226539732253249,0.36,500,False,0.38999999999999996,0.38999999999999996
7,1,3,2634,878,878,locked pipeline,roc_auc,0.004957394780547908,-0.0008140375168303569,0.011088521657910482,0.096,500,False,0.38999999999999996,0.38999999999999996
7,1,3,2634,878,878,locked pipeline,auprc,0.008878824784897876,-0.008387551054911364,0.026554449454397847,0.352,500,False,0.38999999999999996,0.38999999999999996
7,1,3,2634,878,878,locked pipeline,brier,-0.000910850545919592,-0.0031834892902456355,0.001276006555764943,0.416,500,False,0.38999999999999996,0.38999999999999996
7,1,3,2634,878,878,independently optimized,f1_macro,0.0013366012574405062,-0.014971342356105274,0.01666821219629665,0.86,500,False,0.38999999999999996,0.3999999999999999
7,1,3,2634,878,878,independently optimized,roc_auc,0.0033716961133690715,-0.0021386556214239016,0.008880033046710827,0.248,500,False,0.38999999999999996,0.3999999999999999
7,1,3,2634,878,878,independently optimized,auprc,0.0020260724642571226,-0.013601559052853046,0.019425143778874047,0.816,500,False,0.38999999999999996,0.3999999999999999
7,1,3,2634,878,878,independently optimized,brier,-0.0006145176722520129,-0.0028925371342281357,0.0014665024051513467,0.524,500,False,0.38999999999999996,0.3999999999999999
7,1,4,2634,878,878,locked pipeline,f1_macro,0.004008540343820144,-0.007682483045898625,0.017159512193214054,0.52,500,False,0.4499999999999999,0.4499999999999999
7,1,4,2634,878,878,locked pipeline,roc_auc,-0.0006175879019536534,-0.006284543030938719,0.004712243580449247,0.84,500,False,0.4499999999999999,0.4499999999999999
7,1,4,2634,878,878,locked pipeline,auprc,0.0015137084355669739,-0.012446846654007002,0.017397343926143477,0.82,500,False,0.4499999999999999,0.4499999999999999
7,1,4,2634,878,878,locked pipeline,brier,0.00022296833250236292,-0.0014693372834519178,0.0018977244996849513,0.812,500,False,0.4499999999999999,0.4499999999999999
7,1,4,2634,878,878,independently optimized,f1_macro,0.0013829579450334029,-0.016022670510976524,0.01787045464757309,0.912,500,False,0.4499999999999999,0.3999999999999999
7,1,4,2634,878,878,independently optimized,roc_auc,-0.0017442685338963093,-0.008144447552907986,0.004440100302542439,0.572,500,False,0.4499999999999999,0.3999999999999999
7,1,4,2634,878,878,independently optimized,auprc,0.00017885550953689044,-0.01408117244403095,0.014669808198500804,0.916,500,False,0.4499999999999999,0.3999999999999999
7,1,4,2634,878,878,independently optimized,brier,-0.00018925146146832328,-0.001904396971482922,0.0014185160703246334,0.792,500,False,0.4499999999999999,0.3999999999999999
7,2,0,2634,878,878,locked pipeline,f1_macro,0.0012457017072100562,-0.012808283095127104,0.014796793342787159,0.912,500,False,0.30999999999999994,0.30999999999999994
7,2,0,2634,878,878,locked pipeline,roc_auc,0.006589537223339992,0.001266942883335398,0.011812255808800312,0.004,500,True,0.30999999999999994,0.30999999999999994
7,2,0,2634,878,878,locked pipeline,auprc,0.020175580778315605,0.005477209343150108,0.03383859867477121,0.0,500,True,0.30999999999999994,0.30999999999999994
7,2,0,2634,878,878,locked pipeline,brier,-0.002248821099547993,-0.003930297720044183,-0.00044846180889397577,0.004,500,True,0.30999999999999994,0.30999999999999994
7,2,0,2634,878,878,independently optimized,f1_macro,0.0024008653433146288,-0.01884079294837148,0.01936179400213248,0.852,500,False,0.30999999999999994,0.37999999999999995
7,2,0,2634,878,878,independently optimized,roc_auc,0.006019450033534546,-0.0010925795681795856,0.012723915359695923,0.108,500,False,0.30999999999999994,0.37999999999999995
7,2,0,2634,878,878,independently optimized,auprc,0.020941970508024377,0.003695838020900405,0.03815285565796016,0.024,500,True,0.30999999999999994,0.37999999999999995
7,2,0,2634,878,878,independently optimized,brier,-0.0017536173829050539,-0.0035758866304913773,0.000329384046414341,0.104,500,False,0.30999999999999994,0.37999999999999995
7,2,1,2634,878,878,locked pipeline,f1_macro,0.009769017853407003,-0.00587251400903267,0.027705491829769727,0.204,500,False,0.25999999999999995,0.25999999999999995
7,2,1,2634,878,878,locked pipeline,roc_auc,0.0031438631790745575,-0.0013456767037343636,0.007867089469420684,0.176,500,False,0.25999999999999995,0.25999999999999995
7,2,1,2634,878,878,locked pipeline,auprc,0.007812622190516816,-0.008944698258038241,0.022128137223698774,0.496,500,False,0.25999999999999995,0.25999999999999995
7,2,1,2634,878,878,locked pipeline,brier,-0.0004008283062653384,-0.0020884162830918937,0.0013029624757317343,0.7,500,False,0.25999999999999995,0.25999999999999995
7,2,1,2634,878,878,independently optimized,f1_macro,0.01855337950066427,-0.006204130265021434,0.045389327589815516,0.14,500,False,0.25999999999999995,0.38999999999999996
7,2,1,2634,878,878,independently optimized,roc_auc,0.0030013413816232237,-0.0018027536154718554,0.008056762905925934,0.264,500,False,0.25999999999999995,0.38999999999999996
7,2,1,2634,878,878,independently optimized,auprc,-0.0027208458004430724,-0.017668985268219348,0.0112403464922866,0.612,500,False,0.25999999999999995,0.38999999999999996
7,2,1,2634,878,878,independently optimized,brier,-8.925479516409818e-05,-0.0018041411886807873,0.0018602484506994015,0.932,500,False,0.25999999999999995,0.38999999999999996
7,2,2,2634,878,878,locked pipeline,f1_macro,-0.007587623876817773,-0.023654157487034675,0.005107776387619202,0.312,500,False,0.37999999999999995,0.37999999999999995
7,2,2,2634,878,878,locked pipeline,roc_auc,0.0014187830180019123,-0.002859628613571319,0.006043787584163779,0.632,500,False,0.37999999999999995,0.37999999999999995
7,2,2,2634,878,878,locked pipeline,auprc,-0.004249955109873693,-0.016475956012633675,0.00727736244175704,0.42,500,False,0.37999999999999995,0.37999999999999995
7,2,2,2634,878,878,locked pipeline,brier,0.0007566180617170903,-0.00068827253954898,0.002228794090279219,0.316,500,False,0.37999999999999995,0.37999999999999995
7,2,2,2634,878,878,independently optimized,f1_macro,-0.003611967456187859,-0.025395165028824634,0.017167340977937363,0.716,500,False,0.37999999999999995,0.41999999999999993
7,2,2,2634,878,878,independently optimized,roc_auc,0.00216155765683812,-0.004100032488556218,0.00883760788668766,0.572,500,False,0.37999999999999995,0.41999999999999993
7,2,2,2634,878,878,independently optimized,auprc,-0.0018358086521891304,-0.01380054483614308,0.01025937747537263,0.7,500,False,0.37999999999999995,0.41999999999999993
7,2,2,2634,878,878,independently optimized,brier,3.555091800745702e-05,-0.001778731329941562,0.0018994154306919719,0.896,500,False,0.37999999999999995,0.41999999999999993
7,2,3,2634,878,878,locked pipeline,f1_macro,0.006371093734781064,-0.009436694913022214,0.024922663302305796,0.44,500,False,0.3999999999999999,0.3999999999999999
7,2,3,2634,878,878,locked pipeline,roc_auc,0.00453175987514709,-0.000780471652794598,0.00984603100690155,0.088,500,False,0.3999999999999999,0.3999999999999999
7,2,3,2634,878,878,locked pipeline,auprc,-0.00516206376431505,-0.018710413158884415,0.0098603202153819,0.56,500,False,0.3999999999999999,0.3999999999999999
7,2,3,2634,878,878,locked pipeline,brier,-0.0008341641113515375,-0.0026211838383156136,0.0009866035378803247,0.376,500,False,0.3999999999999999,0.3999999999999999
7,2,3,2634,878,878,independently optimized,f1_macro,-0.00507269599719129,-0.0286786297903077,0.021778781468667227,0.728,500,False,0.3999999999999999,0.32999999999999996
7,2,3,2634,878,878,independently optimized,roc_auc,0.001677502274225695,-0.003886949944051671,0.008151883288798895,0.552,500,False,0.3999999999999999,0.32999999999999996
7,2,3,2634,878,878,independently optimized,auprc,-0.004827323974123887,-0.01930931287405033,0.011212315362390455,0.616,500,False,0.3999999999999999,0.32999999999999996
7,2,3,2634,878,878,independently optimized,brier,-0.0005284547121176264,-0.002620060305505061,0.001412170904923163,0.576,500,False,0.3999999999999999,0.32999999999999996
7,2,4,2634,878,878,locked pipeline,f1_macro,0.015228245454131928,-0.006809414894033808,0.03761386842345108,0.156,500,False,0.42999999999999994,0.42999999999999994
7,2,4,2634,878,878,locked pipeline,roc_auc,0.0013937456706252238,-0.0061735592567295685,0.009119329907297679,0.712,500,False,0.42999999999999994,0.42999999999999994
7,2,4,2634,878,878,locked pipeline,auprc,0.017531836133810708,-0.0012372423134333252,0.03560151786686141,0.06,500,False,0.42999999999999994,0.42999999999999994
7,2,4,2634,878,878,locked pipeline,brier,-0.0020310487805522276,-0.004483296311618216,0.00036990594778204313,0.092,500,False,0.42999999999999994,0.42999999999999994
