seed,feature_set,fold,model,n_train,n_test,events_test,eval_times,brier_grid,inner_best_c,c_harrell,metric_failures,c_uno,auc_time_dependent,auc_at_last_time,integrated_brier
4,CV17_THY_CONT,1,Cox,6450,1613,202,"7.000,10.000",0.152-14.769,,0.7994896431407778,,0.7867716931133125,0.8335317013057183,0.8287695647688474,0.08310718249009812
4,CV17_THY_CONT,2,Cox,6450,1613,202,"7.000,10.000",0.152-14.769,,0.7826690064343612,,0.7846229735679854,0.8284610073880276,0.8364311345329556,0.08439880730041488
4,CV17_THY_CONT,3,Cox,6451,1612,201,"7.000,10.000",0.147-14.306,,0.8021510058347122,,0.7924659850048353,0.8372309478899082,0.846145137600744,0.08994316070014427
4,CV17_THY_CONT,4,Cox,6451,1612,201,"7.000,10.000",0.152-14.769,,0.7734296752038918,,0.7645365044292065,0.8306149142662017,0.8086190168013905,0.08895413839849135
5,CV17,0,Cox,6450,1613,202,"7.000,10.000",0.147-14.306,,0.7850974723102107,,0.7808803311813524,0.8332244172377222,0.827351275037149,0.08440598583149062
5,CV17,1,Cox,6450,1613,202,"7.000,10.000",0.152-14.769,,0.8002216166807512,,0.8083679544968164,0.8540370170863896,0.867938354855978,0.08887946364416964
5,CV17,2,Cox,6450,1613,202,"7.000,10.000",0.152-14.769,,0.7954953277356447,,0.7865379456142887,0.8379163930886762,0.8375461372076675,0.08492993985289438
5,CV17,3,Cox,6451,1612,201,"7.000,10.000",0.152-14.769,,0.7570296282317418,,0.7413081445488231,0.7935782607153727,0.7897090522748342,0.08471558243547557
5,CV17,4,Cox,6451,1612,201,"7.000,10.000",0.152-14.769,,0.8123188706663899,,0.7986090537123057,0.8433020063915674,0.8433178347945051,0.08803451741667348
5,CV17_THY_CONT,0,Cox,6450,1613,202,"7.000,10.000",0.147-14.306,,0.7865983545568571,,0.7822330556744603,0.8336290477871049,0.8281109152392759,0.08432791849148352
5,CV17_THY_CONT,1,Cox,6450,1613,202,"7.000,10.000",0.152-14.769,,0.802127347670869,,0.8091065524513475,0.8544919486187503,0.8679160658822184,0.0887644136020116
5,CV17_THY_CONT,2,Cox,6450,1613,202,"7.000,10.000",0.152-14.769,,0.7991264897074756,,0.789465073444533,0.8413379260637792,0.8414333209438722,0.0833180093718988
