draw,horizon,n_oob,c_base,c_thy,delta
108,,2978,0.7842495639660839,0.7862365848627576,0.0019870208966736858
109,,2946,0.7901660445359763,0.7911908745992927,0.0010248300633164398
110,,2953,0.797795046596083,0.8003304581328867,0.0025354115368037
111,,2949,0.7797417446967051,0.7853549744717475,0.0056132297750424165
112,,2973,0.8033320975719636,0.8052185889795114,0.001886491407547819
113,,2985,0.7972009237646137,0.7986867857506084,0.001485861985994652
114,,2951,0.7810955096709522,0.7829383190439667,0.001842809373014509
115,,2994,0.7968775204654325,0.7963230927507381,-0.0005544277146943832
116,,2981,0.7874093339986794,0.7868750409540659,-0.0005342930446134986
117,,2971,0.7943245847828346,0.7942835218166256,-4.106296620898231e-05
118,,2919,0.7865191469908762,0.7885531661310643,0.0020340191401880814
119,,3022,0.7874783429099966,0.7909138396677621,0.003435496757765444
120,,2963,0.8073661744700182,0.8096436910952773,0.0022775166252591017
121,,2989,0.7765894112635434,0.7760930764551013,-0.0004963348084421337
122,,2920,0.7890768655120803,0.7931058905281163,0.00402902501603597
123,,2980,0.786655519829625,0.7896966300753971,0.0030411102457721384
124,,2943,0.7865661459388618,0.7870188226302439,0.00045267669138215894
125,,2990,0.7670912027910859,0.7718959007179477,0.0048046979268617784
126,,2953,0.7886263110418928,0.7837013641848868,-0.004924946857006063
127,,3006,0.7828634573841499,0.7847307234561928,0.0018672660720429057
128,,2982,0.7830084906189947,0.7834420388951326,0.00043354827613795166
129,,2963,0.7944530884343415,0.7941861788926416,-0.0002669095416998335
130,,2942,0.7854989695785977,0.787089588212347,0.0015906186337493189
131,,2939,0.768850605499629,0.7722638741072761,0.003413268607647124
132,,2948,0.7849109078267509,0.7858025112132078,0.0008916033864568851
133,,3015,0.8054316742265318,0.8094825090286631,0.004050834802131309
134,,3017,0.7669676109633617,0.7660023335829454,-0.0009652773804162962
135,,2967,0.8068509570604324,0.8121196392988965,0.005268682238464106
136,,2965,0.789105548268256,0.7923278819432963,0.003222333675040323
137,,2977,0.7879688510194826,0.7880279549555634,5.910393608088427e-05
138,,2942,0.7888283259165635,0.7921248073708773,0.0032964814543138266
139,,2950,0.7903427595397268,0.7899327275893456,-0.00041003195038114004
140,,2944,0.7955706829925334,0.7965815337421721,0.001010850749638692
141,,2955,0.7742388357957647,0.77507956259078,0.0008407267950153452
142,,2962,0.793506259448021,0.7965271741329276,0.003020914684906617
143,,2976,0.7902647784939442,0.7927609891365226,0.0024962106425784336
144,,2970,0.7940753935976661,0.7944912888951048,0.00041589529743868425
145,,2961,0.7622825510954888,0.7658331522450499,0.0035506011495610723
146,,2963,0.7757612519412731,0.7778278084577485,0.0020665565164753597
147,,2969,0.7847737204266744,0.786792048825049,0.0020183283983746803
148,,2992,0.7997153614684044,0.8042590636218439,0.004543702153439466
149,,2960,0.8013846503161451,0.8026328111069634,0.0012481607908182424
