draw,horizon,n_oob,c_base,c_thy,delta
148,10.0,2992,0.7957590382082018,0.8007513683568886,0.00499233014868683
149,7.0,2960,0.802113349941582,0.8029401479561824,0.0008267980146003939
149,10.0,2960,0.7987767908962773,0.7995437256446397,0.0007669347483624245
150,7.0,2972,0.7854730703654589,0.7864175363166377,0.0009444659511788078
150,10.0,2972,0.7830382804040572,0.7836765254511586,0.0006382450471014156
151,7.0,2936,0.787674021843897,0.7887899264482277,0.001115904604330642
151,10.0,2936,0.7854147653440513,0.7858366323169442,0.00042186697289292585
152,7.0,2961,0.7963255511472971,0.7973858478434179,0.0010602966961208438
152,10.0,2961,0.7928830612427268,0.7938257604839105,0.0009426992411837309
153,7.0,2990,0.7733166247058724,0.7748394183581077,0.001522793652235288
153,10.0,2990,0.771464418720623,0.7719087205169286,0.00044430179630561284
154,7.0,3026,0.7874543134458488,0.7872545340115826,-0.0001997794342661896
154,10.0,3026,0.7845501201003817,0.7841572837671907,-0.0003928363331909823
155,7.0,2992,0.8016391732291264,0.8010356426412188,-0.0006035305879075192
155,10.0,2992,0.798786782073168,0.797400854301375,-0.0013859277717930274
156,7.0,2988,0.7813031673747161,0.7845224996688978,0.003219332294181698
156,10.0,2988,0.7785624357147916,0.7813552792183399,0.002792843503548359
157,7.0,3018,0.7992086385070734,0.7972314889134142,-0.0019771495936591332
157,10.0,3018,0.7946843350506984,0.7922266448415728,-0.0024576902091255626
158,7.0,2973,0.7727342525485466,0.7757749393730209,0.003040686824474337
158,10.0,2973,0.7689756054121727,0.7717099783659764,0.002734372953803743
159,7.0,2935,0.7639750003810073,0.767369428807752,0.0033944284267447555
159,10.0,2935,0.7664676636265225,0.7694287251489281,0.002961061522405606
160,7.0,2985,0.7727997264585942,0.7729644044189005,0.0001646779603062809
160,10.0,2985,0.7689463225908332,0.7676531072459538,-0.0012932153448793615
161,7.0,2995,0.7937352095148721,0.7959537822840589,0.0022185727691867996
161,10.0,2995,0.7835182657122236,0.786444370276031,0.0029261045638073746
162,7.0,2973,0.7752921201045768,0.7768145293276189,0.0015224092230420316
162,10.0,2973,0.7726616954567515,0.7736270217304201,0.0009653262736686319
163,7.0,2954,0.7864583052819234,0.7888200095868498,0.0023617043049264375
163,10.0,2954,0.7864566259629568,0.7879689292738895,0.0015123033109326611
