horizon,feature_set,model,protocol,threshold,signature,cache_hit,best_cv_score,split,n,f1_macro,roc_auc,precision_1,recall_1,precision_0,recall_0,brier
7,CV17_THY26,RandomForest,paper_random_search,0.5,c7914a15bf7060f33dff07ba850f7ef7c6d1d43b2489d548a158e54150fca2df,True,0.7297416393175999,validation,878,0.736324860724234,0.8321078942756277,0.6026490066225165,0.5384615384615384,0.8927097661623109,0.9153737658674189,0.12218896762432922
7,CV17_THY26,RandomForest,paper_random_search,0.5,c7914a15bf7060f33dff07ba850f7ef7c6d1d43b2489d548a158e54150fca2df,True,0.7297416393175999,test,878,0.7605602429829108,0.8448189134808853,0.6081871345029239,0.6190476190476191,0.9094766619519095,0.9056338028169014,0.11893540421514288
7,CV17_THY26,AdaBoost,paper_random_search,0.5,c1880b0cd99383ee6d2179bd3ad3bb23cef2e1778d680a0480ce3d3b499cf209,True,0.7021769260814226,validation,878,0.714230064454952,0.8465294063644938,0.7282608695652174,0.39644970414201186,0.8702290076335878,0.9647390691114246,0.1668198180775206
7,CV17_THY26,AdaBoost,paper_random_search,0.5,c1880b0cd99383ee6d2179bd3ad3bb23cef2e1778d680a0480ce3d3b499cf209,True,0.7021769260814226,test,878,0.6700991144690877,0.8240526492287055,0.6041666666666666,0.34523809523809523,0.8593350383631714,0.9464788732394366,0.16956474041923653
7,CV17_THY26,MLP,paper_random_search,0.5,7dd01e6c5b1eb8a4fb6def8ad0b0f608f7fa2ff58fcb4521bfa280dec86e994c,True,0.7212845881170309,validation,878,0.7221958550862205,0.8211248445598016,0.632,0.46745562130177515,0.8804780876494024,0.9351198871650211,0.11790374553799858
7,CV17_THY26,MLP,paper_random_search,0.5,7dd01e6c5b1eb8a4fb6def8ad0b0f608f7fa2ff58fcb4521bfa280dec86e994c,True,0.7212845881170309,test,878,0.7453807274836357,0.8318578135479543,0.6615384615384615,0.5119047619047619,0.8903743315508021,0.9380281690140845,0.11346973164168858
7,CV17_THY26,GradientBoosting,paper_random_search,0.5,e70eafbfc3e30ab1007f79d0d902ec4aa309e8289287e3d7c515c171ad9808ad,True,0.7128298810201272,validation,878,0.7005697319852351,0.8224768613181328,0.6666666666666666,0.3905325443786982,0.8677792041078306,0.9534555712270804,0.1135374342500985
7,CV17_THY26,GradientBoosting,paper_random_search,0.5,e70eafbfc3e30ab1007f79d0d902ec4aa309e8289287e3d7c515c171ad9808ad,True,0.7128298810201272,test,878,0.6947806502154328,0.8285630449362845,0.6203703703703703,0.39880952380952384,0.8688311688311688,0.9422535211267605,0.11665278138950566
7,CV17_THY26,XGBoost,paper_random_search,0.5,b42d17263ee04dea9450f4e734a7ec6405004b5b01c7b504f0d749f2c51b34a4,True,0.7260719068772048,validation,878,0.7461565571193118,0.8422146368332764,0.5975609756097561,0.5798816568047337,0.9005602240896359,0.9069111424541608,0.11560282884212755
7,CV17_THY26,XGBoost,paper_random_search,0.5,b42d17263ee04dea9450f4e734a7ec6405004b5b01c7b504f0d749f2c51b34a4,True,0.7260719068772048,test,878,0.7624400442749969,0.8478957075788062,0.601123595505618,0.6369047619047619,0.9128571428571428,0.9,0.11397609045387197
